Ensembl_Gene_ID,ms_restriction,ms_healthy_somatic_tissues,ms_pmids
ENSG00000182583,CANCER_ONLY,,32938616
ENSG00000205642,CANCER_ONLY,,32938616
ENSG00000189186,RECURRENT_HEALTHY,blood;central nervous system (cns);liver;spleen;tongue,16115862;24715725;28188227;28218747;28832583;29242379;29331515;29437277;29557506;29786170;31154438;31222486;31844290;32157095;32488085;33141586;33858848;34561969;35580925;36284347;40113210
ENSG00000165583,SINGLETON_HEALTHY,central nervous system (cns),21904219;25645385;29557506
ENSG00000215115,SINGLETON_HEALTHY,blood,31154438;32938616;35051231
ENSG00000215113,SINGLETON_HEALTHY,blood,31154438;32938616;35051231
ENSG00000153779,SINGLETON_HEALTHY,blood,28904123;29557506
ENSG00000123576,EXPECTED_TISSUE,,25576301;27846572;30315122;30429286;31844290;33858848;35051231
ENSG00000169551,CANCER_ONLY,,24714562;25645385;32938616
ENSG00000269586,CANCER_ONLY,,20112406;27869121;28063628;29393594;29632046;31222486;31848261;32938616;33691108;38480730
ENSG00000242875,RECURRENT_HEALTHY,esophagus;spleen,29557506;31495665;33858848;35051231;35526384
ENSG00000234414,RECURRENT_HEALTHY,esophagus;spleen,29557506;31495665;33858848;35526384
ENSG00000242389,RECURRENT_HEALTHY,esophagus;spleen,29557506;31495665;33858848;35526384
ENSG00000162641,SINGLETON_HEALTHY,esophagus,26992070;27920218;31154438;33858848
ENSG00000182308,CANCER_ONLY,,23481700;24715725;25576301;26154972;26992070;27600516;27920218;28832583;28834231;29242379;29557506;30315122;30429286;30524438;31154438;31495665;31530632;31844290;32157095;32387766;32897882;32938616;33141586;33298915;33592498;33912179;33968037;34087483;34171305;34405274;34509645;34932366;35051231;35580925;36010968;36284347;38480730;40113210
ENSG00000156269,RECURRENT_HEALTHY,blood;central nervous system (cns);kidney;liver;lung;lymph node;small intestine;spleen;thyroid;tongue,23481700;24715725;25576301;25645385;26154972;26375851;26992070;27600516;27841757;27846572;27862975;28063628;28188227;28832583;28834231;28904123;29242379;29393594;29493099;29508533;29557506;29632046;29632711;29786170;30429286;30779550;31217245;31495665;31844290;31848261;32157095;32161166;32265295;32387766;32488085;32938616;33141586;33298915;33633747;33858848;33912179;33936100;34087483;34211107;35051231;35561310;35580925;38480730
ENSG00000203907,CANCER_ONLY,,23481700;31154438;31848261
ENSG00000106013,NO_MS_DATA,,35051231
ENSG00000235631,RECURRENT_HEALTHY,blood;lung;lymph node,24715725;29557506;33858848;34087483
ENSG00000135248,RECURRENT_HEALTHY,central nervous system (cns);skin;small intestine,27846572;28834231;29557506;31844290;33141586;33858848;34171305;35051231
ENSG00000185863,CANCER_ONLY,,32488085;36241641
ENSG00000179088,SINGLETON_HEALTHY,blood,29242379;29557506;31844290;34561969
ENSG00000196553,RECURRENT_HEALTHY,colon;esophagus;heart;lung;spleen;trachea,28188227;28832583;29242379;29557506;29786170;33858848;35051231;35580925
ENSG00000159708,CANCER_ONLY,,27543614;32357974;32387766;35051231
ENSG00000141096,RECURRENT_HEALTHY,bone marrow;small intestine;spleen,28832583;29632711;30429286;31092671;31154438;31844290;32938616;32983136;33141586;33858848;34561969;35051231;35580925;36241641
ENSG00000180336,CANCER_ONLY,,23481700;25576301;26992070;29242379;29769354;31495665;32387766;32938616;33981976;34509645;35051231;35580925;40113210
ENSG00000215529,CANCER_ONLY,,31998317;34087483
ENSG00000237671,CANCER_ONLY,,27600516;27869121;32157095
ENSG00000236362,CANCER_ONLY,,27600516;27869121;32157095
ENSG00000007350,CANCER_ONLY,,26992070;28832583;29557506;31848261;32157095;32387766;33141586;33392160;34509645;35051231;40113210
ENSG00000175820,RECURRENT_HEALTHY,blood;spleen,22706990;23481700;25576301;26375851;28063628;28832583;29557506;31844290;32387766;32938616;33858848;34171305;35051231
ENSG00000180138,RECURRENT_HEALTHY,adrenal gland;aorta;blood;bone marrow;central nervous system (cns);cerebellum;colon;esophagus;heart;kidney;liver;lung;skin;small intestine;spleen;thyroid;tongue;trachea,17697703;22424782;23481700;24715725;25418920;25576301;25645385;25892735;26154972;26758079;26929215;26992070;27397612;27543614;27600516;27841757;27846572;28063628;28188227;28218747;28228285;28832583;28834231;28904123;29242379;29393594;29493099;29508533;29557506;29632046;29769354;29786170;30001391;30315122;30429286;30524438;30779550;31154438;31495665;31844290;31848261;31937595;32157095;32265295;32357974;32387766;32488085;32897882;32938616;32983136;33123756;33141586;33298915;33392160;33537174;33592498;33691108;33717175;33858848;33912179;33936100;33968037;33981976;34087483;34171305;34185709;34211107;34405274;34509645;34561969;35051231;35580925;36010968;36284347;37938771;38480730;40113210
